[2025-05-25 19:46:35] Usuario: admin | Acción: hacer_backup
[2025-05-25 19:46:40] Usuario: admin | Acción: listar_backups
[2025-05-25 19:46:58] Usuario: admin | Acción: listar_backups
[2025-05-25 19:47:17] Usuario: admin | Acción: listar_backups
[2025-05-25 19:47:26] Usuario: admin | Acción: listar_backups
[2025-05-25 19:47:29] Usuario: admin | Acción: hacer_backup
[2025-05-25 19:47:33] Usuario: admin | Acción: listar_backups
[2025-05-25 19:47:47] Usuario: admin | Acción: eliminar_todos_los_backups
[2025-05-25 19:47:50] Usuario: admin | Acción: listar_backups
[2025-05-25 19:47:56] Usuario: admin | Acción: usuarios_conectados
[2025-05-25 19:48:09] Usuario: admin | Acción: intentos_fallidos
[2025-05-25 19:48:31] Usuario: admin | Acción: ufw_estado
[2025-05-25 19:48:45] Usuario: admin | Acción: usuarios_conectados
[2025-05-25 19:49:03] Usuario: admin | Acción: listar_usuarios
[2025-05-25 19:49:12] Usuario: admin | Acción: listar_usuarios
[2025-05-25 19:49:42] Usuario: admin | Acción: intentos_fallidos
[2025-05-25 19:49:56] Usuario: admin | Acción: verificar_integridad
[2025-05-25 19:50:00] Usuario: admin | Acción: uso_sistema
[2025-05-25 19:50:19] Usuario: admin | Acción: uso_sistema
[2025-05-25 19:55:49] Usuario: admin | Acción: usuarios_conectados
[2025-05-25 19:56:01] Usuario: admin | Acción: usuarios_conectados
[2025-05-25 19:57:12] Usuario: admin | Acción: usuarios_conectados
[2025-05-25 19:57:52] Usuario: admin | Acción: usuarios_conectados
[2025-05-25 20:00:38] Usuario: admin | Acción: listar_backups
[2025-05-25 20:00:41] Usuario: admin | Acción: hacer_backup
[2025-05-25 20:00:53] Usuario: admin | Acción: listar_backups
[2025-05-25 20:00:58] Usuario: admin | Acción: eliminar_backups
[2025-05-25 20:01:03] Usuario: admin | Acción: usuarios_conectados
[2025-05-25 20:01:18] Usuario: admin | Acción: listar_backups
[2025-05-25 20:01:24] Usuario: admin | Acción: descargar_backup
[2025-05-25 20:01:28] Usuario: admin | Acción: listar_backups
